value,layer,raw_norm
sanctity,22,1.502106
sanctity,23,1.632316
sanctity,24,1.735709
sanctity,25,1.878054
sanctity,26,2.120288
sanctity,27,2.26809
sanctity,28,2.547703
sanctity,29,2.858903
sanctity,30,3.323517
sanctity,31,4.389438
tradition,0,0.035532
tradition,1,0.0603
tradition,2,0.098214
tradition,3,0.169158
tradition,4,0.244313
tradition,5,0.266519
tradition,6,0.289566
tradition,7,0.329745
tradition,8,0.346217
tradition,9,0.351113
tradition,10,0.352771
tradition,11,0.357216
tradition,12,0.416399
tradition,13,0.590714
tradition,14,1.239577
tradition,15,1.179669
tradition,16,1.310877
tradition,17,1.699923
tradition,18,1.918744
tradition,19,2.076708
tradition,20,2.27088
tradition,21,2.417174
tradition,22,2.608907
tradition,23,2.762994
tradition,24,3.040511
tradition,25,3.320738
tradition,26,3.73274
tradition,27,4.138112
tradition,28,4.63424
tradition,29,5.384064
tradition,30,6.096091
tradition,31,7.610649
